state_calc,year_group,mean_stigma_ahs,mean_stigma_ahs_se,mean_stigma_gss,mean_stigma_gss_se,mean_stigma_family,mean_stigma_family_se,mean_knowledge_aware,mean_knowledge_aware_se,mean_risk_behavior,mean_risk_behavior_se,mean_talkhiv,mean_talkhiv_se,mean_illicit,mean_illicit_se,mean_homeless_col,mean_homeless_col_se,mean_insur_bin,mean_insur_bin_se,mean_urbrur,mean_urbrur_se,mean_out_gi,mean_out_gi_se,mean_out_gid,mean_out_gid_se,mean_out_gic,mean_out_gic_se,mean_seehcp,mean_seehcp_se,n
CO,2023-2024,0.12736977791262577,0.046469742958940186,0.4177571337055554,0.07233972093497937,0.3025015812588614,0.06859976222994996,0.7008177602701947,0.06626697992931536,0.3903607726955492,0.06470150561422507,0.0778635642737962,0.033766028346659385,0.5701598698228199,0.06433523996554977,0.13094040585110062,0.0501349330382219,0.9492186827667278,0.025136789907500002,0.9962768164310767,0.0037901630009926717,0.9887780222070768,0.00631543130849906,0.8746744540828499,0.04806887310671189,0.812816877300607,0.05331249307227553,0.8672844804090988,0.04493841898792052,141
CT,2015-2016,0.07153653114170096,0.04645669283442427,0.1564097931337439,0.08997572397291348,0.17314624745142274,0.09083456369203338,0.6167111742034415,0.06554750529945873,0.169963261103317,0.05399669610742337,0.20490367643200433,0.06808213230974267,0.32105113672509117,0.06563129182739554,0.048408774318202404,0.030719071292921365,0.940720997224252,0.02569518943115537,0.9176670743768878,0.04405764626947565,0.8856564571835314,0.047696768150319264,0.8435115767365463,0.0406164928561049,0.8134763934931583,0.06689377465138055,0.9142318747351789,0.030784119130194958,128
CT,2017-2018,0.048217869148084895,0.02075879973396393,0.3700732955964839,0.07094859281598132,0.11617688852205063,0.044270089131358076,0.41146855170849145,0.07203190989169572,0.1947125759698538,0.060886803578880745,0.11070101816110159,0.049291325321645756,0.24144786586690745,0.05075812104951379,0.04270533738693885,0.020463609552642367,0.9242041017585538,0.028488347281485006,0.9451922410461099,0.03573253370852981,0.8819050778373704,0.05103059071904888,0.757728076284014,0.06261028350738719,0.7766026851045743,0.06211941481901813,0.9029586582132654,0.03230479702674343,164
CT,2019-2020,0.052617780626419454,0.023935419763931546,0.44274992756058457,0.09123935340656139,0.30612581259110394,0.08956718995829903,0.49715957086153284,0.09219990313228564,0.09080608693561278,0.03538129278592724,0.17588200992865177,0.07114888072161316,0.19522893132942234,0.059306862786880035,0.059420674821624414,0.037447291274312164,0.642336867544072,0.08130250526895301,0.9796154866771176,0.012652739922894977,0.9486596548259056,0.028650555083807084,0.6044260953940529,0.09288089317147458,0.7574994090705689,0.07726920792590804,0.8819827967741467,0.06570864675275007,74
CT,2021-2022,0.10579663406406109,0.0481702637712272,0.44141947835466233,0.08864431178895164,0.23505958594718762,0.08359492681348608,0.6182615760898744,0.07902655533668053,0.3145582948452523,0.07864579178895542,0.10316678584183403,0.048965755671111735,0.4355757086712345,0.07959251543516026,0.11736028088467326,0.06910265865521278,1.0000000000000009,1.400116435750223e-16,0.9479923671111515,0.034401663214449985,0.8493570025545077,0.06194746293962458,0.7855379768760881,0.06493143701178011,0.784562847284984,0.0693158495870608,0.9138595108001647,0.053251395820480225,119
CT,2023-2024,0.16178359777784523,0.07128820429924215,0.45262592356492803,0.10343347797220655,0.3028104385204914,0.10475304503932939,0.6492387655920842,0.08948307101125123,0.4773275416011738,0.09115519475025079,0.1292612623758281,0.090716679059052,0.32547166239824377,0.08920652470480009,0.07563209633970962,0.04259047656634956,0.9886375165895338,0.011421501043294383,0.8879832709226165,0.09780232933855296,0.9685317773003913,0.02202022322846899,0.8015377795163684,0.07978998499268002,0.8965031808012975,0.04094122904021114,0.865563457345157,0.05924037629140455,78
DE,2015-2016,0.06468565007427382,0.06985598446751215,0.18240936315555678,0.12627960024706808,0.41379731250825347,0.26267644548729785,0.35728141387803425,0.1256929188937641,0.09675401843058659,0.04519110861149478,0.270842579437656,0.1329921448027837,0.12831064001920836,0.06060663209410828,0,0,0.8408213014436597,0.08821080063686289,1,0,0.978350016560814,0.020618887815779766,0.6979877009471699,0.10825264452995315,0.934623812435521,0.03887207201019654,0.842592421744285,0.12854867431350622,48
DE,2017-2018,0.049707468677856886,0.030991636386046732,0.4619441055613145,0.12082787220685491,0.19507885896842825,0.0720695578843825,0.14708264057530812,0.05784927330193654,0.16127909669438673,0.0622206393581474,0.07718185439219472,0.042240289318554315,0.36795184498144257,0.09984932104413097,0.0857852525165682,0.05972799371144088,0.9921579456520183,0.008013147452360867,1.0000000000000002,5.291995110585173e-17,0.8807774211801824,0.07779434555780314,0.6000598700209185,0.13225982566096633,0.6099464452500182,0.13141052374259773,0.882604196944482,0.0662552082579468,47
DE,2019-2020,0.009754780498873473,0.00992354650647996,0.5511716663887917,0.11460353154382537,0.1685125062586522,0.06865269148176491,0.7430839929389221,0.09133718863024032,0.29981122849134373,0.09819357141436295,0.22495338504958637,0.08815148834530835,0.3237033897007416,0.1188291592790311,0.04180806788970709,0.033523070332839876,0.8748533878482193,0.0583668291231181,0.9999999999999999,2.588827072585775e-17,0.9905505201895465,0.009615799361163765,0.8159666972012732,0.07203582137243346,0.8398489348871265,0.07605797711946459,0.9197436137438848,0.05058579109040811,31
DE,2021-2022,0.2941035550112279,0.14039289357427237,0.19709198633860803,0.13201485346326017,0.2784523627007159,0.14044413569824432,0.6422312944634802,0.13807467039906257,0.236775013074166,0.1034507871178261,0.07299011580023006,0.04396343367679842,0.07401058866299173,0.03934534321624958,0.022466986360917516,0.021650961163263076,0.9479003940975023,0.03991164616450624,0.9999999999999997,9.047498105032121e-17,0.9839787205843807,0.012406224107741323,0.7834278556881119,0.125329032469721,0.824730515270202,0.0844187650711613,0.945844251557111,0.04937205732682353,51
FL,2015-2016,0.32886890524629997,0.062121199471088726,0.6746948870046913,0.0592757069274512,0.5128346109736523,0.0635509238181695,0.49834944405345166,0.030725782855334408,0.16847213424829355,0.019567835715670178,0.1949539223628245,0.02395500013956187,0.2547820018472803,0.023439723243426414,0.059184297788509845,0.02249586376338869,0.8578026683498328,0.02018576973161425,0.983641431875961,0.005326990585357286,0.9380952129416872,0.01427260787643896,0.7237932920617272,0.027283301346534526,0.8089301583924964,0.024572654158923027,0.8992435793219292,0.01670846276691656,910
FL,2017-2018,0.11386278651996287,0.01701579606019538,0.3513009376218493,0.023784564951340504,0.1608800895627269,0.01799226187967907,0.3614213331943505,0.02531377997535523,0.23722531241230804,0.021030858325641253,0.20435847111753147,0.02180390637302025,0.30296111854904484,0.022607207081252224,0.06644107196161532,0.013216827614820556,0.8596604523104812,0.017960895272032918,0.9791832379615062,0.005754122666183409,0.9225672252282483,0.015054404314149962,0.7349046365650486,0.028592810785940042,0.8361037964569864,0.021707459590756033,0.8568939468773786,0.020117979287759186,1020
FL,2019-2020,0.04190645266928204,0.008771290703688026,0.30449307571088696,0.027832835273033815,0.20509532076681816,0.025629080567377036,0.5280180230795417,0.037531704456549166,0.30915787302095543,0.03294035618688642,0.2515601987569437,0.03285133965497367,0.33318983842772537,0.03250504317562323,0.10712629651734891,0.021853724070643978,0.736498655527532,0.028093252368724588,0.9843556203891511,0.007497242262235158,0.9437386266582054,0.019927353215254906,0.7457353825218334,0.030286805864866085,0.8092713784967781,0.03026789258449395,0.8369824498374059,0.024989968892757612,475
FL,2021-2022,0.09136334816070635,0.017958648236305344,0.30602943085847384,0.02789348585635958,0.1822304918157738,0.023506989255599228,0.581680521580708,0.030286191517163892,0.38065062413774486,0.026127874833857367,0.15651663360810042,0.021657772133488653,0.30565838245771354,0.025007644070957156,0.13263959334123065,0.02033899231915147,0.8954166268327847,0.01868437581049587,0.985724536870228,0.004988322759897841,0.9363562165018527,0.013626744037933621,0.7927220201833696,0.023955050416427415,0.8663978635975605,0.018343241898602317,0.8671041174520601,0.018297326971942404,753
FL,2023-2024,0.1276194927450178,0.02936169866227871,0.3555591762458647,0.04190438333869971,0.21032999693202706,0.03799548673302923,0.5499131847561939,0.04482339095599193,0.3708043765461825,0.0388557098801797,0.1941451834349421,0.05536283863534351,0.30766382279066545,0.039024909189065426,0.10550534228972881,0.02758431531556855,0.8815635857511926,0.029520076765996873,0.9791424951447829,0.019076954054588677,0.8905683739738572,0.02408799035189496,0.7878544243889153,0.035621390033695084,0.8145220432698421,0.029965491888381438,0.8460710362109258,0.031812040019186874,343
GA,2015-2016,0.14361997666509127,0.048277859387414204,0.6048627051501788,0.06582743099418156,0.5722274407643666,0.06850429958550977,0.45082729425374113,0.03531000193405633,0.20480337679246485,0.02592898687082416,0.17760198657687098,0.023008135598192248,0.29465517296309834,0.02820586097859456,0.10600703223853937,0.027880684088026686,0.8055028635939507,0.026874330204740584,0.8807156415637678,0.022371521092868288,0.9537298061056846,0.013359027541094175,0.7170078925053435,0.031163197442769328,0.8534472314854123,0.024229685411840337,0.8864671205033935,0.01977717826254419,682
GA,2017-2018,0.14081366642270757,0.01921257843683528,0.3535276915362526,0.026193363644667126,0.23313588413242275,0.02411256358542048,0.31162366139587233,0.028364083889693463,0.21876535145678352,0.023773073122066193,0.18342894033642268,0.02342735523045941,0.29095286068168463,0.02527264358591505,0.114008299773964,0.020480576933511047,0.8282632354706354,0.023197480188507227,0.9215644605842274,0.012582862458289528,0.9005549206655545,0.01927405937019174,0.6669443007242926,0.03736305699680578,0.7709465269059438,0.03217805760421629,0.8821652911615749,0.018591274544094507,770
GA,2019-2020,0.08318631825089218,0.018643779469553683,0.34960456945680407,0.03348045583672937,0.18231731563146136,0.023666993711709623,0.5233355305015214,0.04033425665706024,0.378661171268287,0.03410304865699638,0.20532731346560612,0.029501178222855896,0.28000551236337184,0.029622781658875875,0.1303401898184151,0.021759645183439653,0.7499096537086565,0.025503201117387322,0.8973642980092161,0.024682301074990712,0.9091613457195137,0.027620745951297328,0.7218367492405827,0.031965427911091956,0.8376387473390884,0.029633718502970374,0.8841816908233231,0.018710931960093356,480
GA,2021-2022,0.08973071013921637,0.024028472756780966,0.31073976703453565,0.037380555733908825,0.19700191764341785,0.030842694666906638,0.5481503774329459,0.040789191244785,0.38843796318346374,0.033326766964428406,0.12672853682657906,0.02521070238615706,0.28706200255219183,0.031093151481493643,0.14792318926470985,0.025404325516831798,0.8372509351443586,0.027446653764514602,0.8751074814744763,0.02444757966980666,0.9372261590067371,0.017841610318161144,0.7935137939445589,0.029589428714733475,0.8629164164012969,0.02138725402034704,0.8484223874918896,0.028114612198319493,479
GA,2023-2024,0.1832210427159385,0.03617627664894575,0.3632327589032438,0.04183077689789971,0.23221827922906463,0.03603360900270911,0.6266236663820342,0.045602122077073315,0.40247297674233584,0.038545730452880685,0.16174479524138755,0.05121314788792862,0.26224080985878895,0.034371457273808574,0.1638866803912969,0.02944508718261144,0.9037326372215543,0.02143596482192484,0.949370310807769,0.03180670027068337,0.9452695720908094,0.018324032153356793,0.8041014628650445,0.036172453815722365,0.7887767724997169,0.034416826450289546,0.9034305394030948,0.02471047059219163,370
HI,2015-2016,0.048809800739615355,0.04750101799526605,0.8075208971149299,0.15808943814737275,0.40016692753412536,0.26520782230144935,0.6386820493083791,0.1480196485443169,0.01454883647109537,0.008428084337611493,0.011041501143983976,0.007434768252276578,0.036580443030816305,0.018299715411572614,0,0,0.9956044000018155,0.004588956057430456,0.833794129730071,0.106612944213691,0.9575483904712419,0.029208559523908897,0.8297055491354882,0.09213787105157785,0.9900267120168578,0.007135141774674018,0.8517302311108628,0.09713368162824325,41
HI,2017-2018,0.20643880261960101,0.08317272091614412,0.5127105325097863,0.11634640841669949,0.10520369506710214,0.046417548101131786,0.31988845926103954,0.1002259462201648,0.1846076071141076,0.07722242567890675,0.10693380723111402,0.05586497913589533,0.27469319313536295,0.09726971645374892,0.029527377564024213,0.029451276185675387,1.0000000000000009,2.0587508986194776e-16,0.7510128598903217,0.10924219342545291,0.9380009224603125,0.05205274661216169,0.9174213149159901,0.05313570301430245,0.9460201329662735,0.05362261582083829,0.9881314081197744,0.006585188207704763,63
HI,2021-2022,0.2991094887278517,0.21793073997450504,0.15254058709212756,0.09368507160766962,0.4129074942661444,0.19638725445997934,0.4139683191283567,0.161135265736652,0.31337330002434544,0.15865056928865892,0.13788524618487213,0.11853694041724405,0.43748565623090485,0.15806876718990545,0.0028334872845072294,0.0029571973074686017,0.9999999999999999,3.419335415367611e-17,0.8040204215061973,0.09327370566277107,0.9479614032745659,0.05168176234428771,0.5963901565825966,0.16825540242536532,0.8638875161374052,0.09076379707760358,0.7667079819578987,0.12138719301649097,45
IA,2015-2016,0.31342530727265855,0.15118019719681283,0.4569755958604684,0.15409360665826602,0.4796832959400717,0.15895362615750244,0.5360835925733478,0.0818019340535748,0.10504974774238884,0.032598134090873115,0.056706114321016875,0.022094763836005216,0.3137831252219666,0.07429400280375788,0.0365074415871556,0.027395728659089878,0.8612805364938904,0.06425243978160246,0.6504986492151285,0.08275540075939147,0.9717186306650459,0.017014275877609855,0.6930055434089873,0.08417899589077801,0.7253182081064129,0.07098063460185997,0.7739614816138114,0.07905060824388499,123
